# period(s), 
# Low noise model (1th percentile  in db) East North and Up, 
# Median noise model (50th percentile  in db) East North and Up, 
# High noise model (90th percentile  in db) East North and Up
234.753	-26.5	-25.5	-29.5	-13.5	-11.5	-6.5	-6.5	-3.5	0.5
256.000	-26.5	-25.5	-29.5	-13.5	-11.5	-6.5	-5.5	-2.5	0.5
279.170	-26.5	-25.5	-29.5	-13.5	-11.5	-6.5	-5.5	-2.5	0.5
304.437	-26.5	-25.5	-29.5	-13.5	-11.5	-6.5	-5.5	-2.5	0.5
331.991	-26.5	-25.5	-29.5	-13.5	-11.5	-6.5	-5.5	-2.5	0.5
362.039	-26.5	-24.5	-28.5	-14.5	-12.5	-7.5	-5.5	-2.5	1.5
394.806	-26.5	-24.5	-28.5	-14.5	-12.5	-7.5	-5.5	-2.5	1.5
430.539	-26.5	-24.5	-28.5	-14.5	-12.5	-7.5	-5.5	-2.5	1.5
469.506	-26.5	-24.5	-28.5	-14.5	-12.5	-7.5	-5.5	-2.5	1.5
512.000	-26.5	-24.5	-28.5	-14.5	-12.5	-7.5	-5.5	-2.5	1.5
558.340	-26.5	-24.5	-28.5	-14.5	-12.5	-7.5	-5.5	-2.5	1.5
608.874	-26.5	-24.5	-28.5	-14.5	-12.5	-7.5	-5.5	-2.5	1.5
663.982	-26.5	-24.5	-28.5	-14.5	-12.5	-7.5	-5.5	-2.5	1.5
